iata,icao,name,city,state,country,latitude,longitude,elevation_ft,timezone
AAA,NTGA,Anaa Airport,,Iles-Tuamotu-Gambier,PF,-17.352600,-145.509995,10,Pacific/Tahiti
AAE,DABB,Annaba Airport,Annabah,Annaba,DZ,36.822201,7.809170,16,Africa/Algiers
AAL,EKYT,Aalborg Airport,Aalborg,North-Denmark,DK,57.092759,9.849243,10,Europe/Copenhagen
AAN,OMAL,Al Ain International Airport,Al Ain,Abu-Dhabi,AE,24.261700,55.609200,869,Asia/Dubai
AAP,WALS,Aji Pangeran Tumenggung Pranoto International Airport,Samarinda,East-Kalimantan,ID,-0.373611,117.255556,82,Asia/Makassar
AAR,EKAH,Aarhus Airport,Aarhus,Central-Jutland,DK,56.299999,10.619000,82,Europe/Copenhagen
AAT,ZWAT,Altay Air Base,Altay,Xinjiang,CN,47.749886,88.085808,2460,Asia/Shanghai
AAX,SBAX,Araxa Airport,Araxa,Minas-Gerais,BR,-19.563200,-46.960400,3276,America/Sao_Paulo
AAZ,MGQZ,Quezaltenango Airport,Quezaltenango,Quetzaltenango,GT,14.865600,-91.501999,7779,America/Guatemala
ABA,UNAA,Abakan Airport,Abakan,Khakasiya,RU,53.740002,91.385002,831,Asia/Krasnoyarsk
ABB,DNAS,Asaba International Airport,Asaba,Delta,NG,6.203333,6.658889,305,Africa/Lagos
ABD,OIAA,Abadan Airport,Abadan,Khuzestan,IR,30.371099,48.228298,10,Asia/Tehran
ABE,KABE,Lehigh Valley International Airport,Allentown,Pennsylvania,US,40.652100,-75.440804,393,America/New_York
ABI,KABI,Abilene Regional Airport,Abilene,Texas,US,32.411301,-99.681900,1791,America/Chicago
ABJ,DIAP,Port Bouet Airport,Abidjan,Lagunes,CI,5.261390,-3.926290,21,Africa/Abidjan
ABL,PAFM,Ambler Airport,Ambler,Alaska,US,67.106300,-157.856995,334,America/Anchorage
ABM,YBAM,Bamaga Injinoo Airport,,Queensland,AU,-10.950800,142.459000,34,Australia/Brisbane
ABQ,KABQ,Albuquerque International Sunport Airport,Albuquerque,New-Mexico,US,35.040199,-106.609001,5355,America/Denver
ABR,KABR,Aberdeen Regional Airport,Aberdeen,South-Dakota,US,45.449100,-98.421799,1302,America/Chicago
ABS,HEBL,Abu Simbel Airport,Abu Simbel,Aswan,EG,22.375999,31.611700,616,Africa/Cairo
ABT,OEBA,Al Baha Airport,,,SA,20.296101,41.634300,5486,Asia/Riyadh
ABU,WRKA,Haliwen Airport,Atambua-Timor Island,East-Nusa-Tenggara,ID,-9.073050,124.904999,1027,Asia/Makassar
ABV,DNAA,Nnamdi Azikiwe International Airport,Abuja,FCT,NG,9.006790,7.263170,1123,Africa/Lagos
ABX,YMAY,Albury Airport,Albury,New-South-Wales,AU,-36.067799,146.957993,539,Australia/Melbourne
ABY,KABY,Southwest Georgia Regional Airport,Albany,Georgia,US,31.535500,-84.194504,197,America/New_York
ABZ,EGPD,Aberdeen Dyce Airport,Aberdeen,Scotland,GB,57.201900,-2.197780,215,Europe/London
ACA,MMAA,General Juan N Alvarez International Airport,Acapulco,Guerrero,MX,16.757099,-99.753998,16,America/Mexico_City
ACC,DGAA,Kotoka International Airport,Accra,,GH,5.605190,-0.166786,205,Africa/Accra
ACE,GCRR,Lanzarote Airport,Lanzarote Island,Canary-Islands,ES,28.945499,-13.605200,46,Atlantic/Canary
ACF,YBAF,Brisbane Archerfield Airport,Brisbane,Queensland,AU,-27.570299,153.007996,63,Australia/Brisbane
ACH,LSZR,St Gallen Altenrhein Airport,Altenrhein,Saint-Gallen,CH,47.485001,9.560770,1306,Europe/Vienna
ACI,EGJA,Alderney Airport,Saint Anne,Alderney,GG,49.706100,-2.214720,290,Europe/Guernsey
ACK,KACK,Nantucket Memorial Airport,Nantucket,Massachusetts,US,41.253101,-70.060204,47,America/New_York
ACT,KACT,Waco Regional Airport,Waco,Texas,US,31.611300,-97.230499,516,America/Chicago
ACV,KACV,Arcata Airport,Arcata/Eureka,California,US,40.978100,-124.109001,221,America/Los_Angeles
ACX,ZUYI,Xingyi Airport,Xingyi,Guizhou,CN,25.086389,104.959444,4150,Asia/Shanghai
ACY,KACY,Atlantic City International Airport,Atlantic City,New-Jersey,US,39.457600,-74.577202,75,America/New_York
ACZ,OIZB,Zabol Airport,,Sistan-and-Baluchestan,IR,31.098301,61.543900,1628,Asia/Tehran
ADA,LTAF,Adana Airport,Adana,Adana,TR,36.982201,35.280399,65,Europe/Istanbul
ADB,LTBJ,Adnan Menderes International Airport,Izmir,Izmir,TR,38.292400,27.157000,412,Europe/Istanbul
ADD,HAAB,Bole International Airport,Addis Ababa,Addis-Ababa,ET,8.977890,38.799301,7630,Africa/Addis_Ababa
ADE,OYAA,Aden International Airport,Aden,Aden,YE,12.829500,45.028801,7,Asia/Aden
ADF,LTCP,Adiyaman Airport,Adiyaman,Adiyaman,TR,37.731400,38.468899,2216,Europe/Istanbul
ADK,PADK,Adak Airport,Adak Island,Alaska,US,51.877998,-176.645996,18,America/Adak
ADL,YPAD,Adelaide International Airport,Adelaide,South-Australia,AU,-34.945000,138.531006,20,Australia/Adelaide
ADQ,PADQ,Kodiak Airport,Kodiak,Alaska,US,57.750000,-152.494003,78,America/Anchorage
ADU,OITL,Ardabil Airport,Ardabil,Ardabil,IR,38.325699,48.424400,4315,Asia/Tehran
ADZ,SKSP,Gustavo Rojas Pinilla International Airport,San Andres,San-Andres-y-Providencia,CO,12.583600,-81.711200,19,America/Bogota
AEB,ZBGS,Tian Yang Air Base,Baise,Guangxi,CN,23.720600,106.959999,0,Asia/Shanghai
AEP,SABE,Jorge Newbery Airpark,Buenos Aires,Buenos-Aires-F-D-,AR,-34.559200,-58.415600,18,America/Argentina/Buenos_Aires
AER,URSS,Sochi International Airport,Sochi,Krasnodarskiy,RU,43.449902,39.956600,89,Europe/Moscow
AES,ENAL,Alesund Airport,Alesund,More-og-Romsdal,NO,62.562500,6.119700,69,Europe/Oslo
AET,PFAL,Allakaket Airport,Allakaket,Alaska,US,66.551804,-152.621994,441,America/Anchorage
AEX,KAEX,Alexandria International Airport,Alexandria,Louisiana,US,31.327400,-92.549797,89,America/Chicago
AEY,BIAR,Akureyri Airport,Akureyri,Northeast,IS,65.660004,-18.072701,6,Atlantic/Reykjavik
AFA,SAMR,Suboficial Ay Santiago Germano Airport,San Rafael,Mendoza,AR,-34.588299,-68.403900,2470,America/Argentina/Mendoza
AFL,SBAT,Alta Floresta Airport,Alta Floresta,Mato-Grosso,BR,-9.866389,-56.105000,948,America/Cuiaba
AGA,GMAD,Al Massira Airport,Agadir,Souss-Massa,MA,30.325001,-9.413070,250,Africa/Casablanca
AGH,ESTA,Angelholm-Helsingborg Airport,Angelholm,Skane,SE,56.296101,12.847100,68,Europe/Stockholm
AGP,LEMG,Malaga Airport,Malaga,Andalusia,ES,36.674900,-4.499110,53,Europe/Madrid
AGR,VIAG,Agra Airport,,Uttar-Pradesh,IN,27.155800,77.960899,551,Asia/Kolkata
AGS,KAGS,Augusta Regional At Bush Field,Augusta,Georgia,US,33.369900,-81.964500,144,America/New_York
AGT,SGES,Guarani International Airport,Ciudad del Este,Alto-Parana,PY,-25.459999,-54.840000,846,America/Asuncion
AGU,MMAS,Jesus Teran International Airport,Aguascalientes,Aguascalientes,MX,21.705601,-102.318001,6112,America/Mexico_City
AGV,SVAC,Oswaldo Guevara Mujica Airport,Acarigua,Portuguesa,VE,9.553375,-69.237869,640,America/Caracas
AGX,VOAT,Agatti Airport,,Laccadives,IN,10.823700,72.176003,14,Asia/Kolkata
AHB,OEAB,Abha Regional Airport,Abha,,SA,18.240400,42.656601,6858,Asia/Riyadh
AHE,NTHE,Ahe Airport,Ahe Atoll,Iles-Tuamotu-Gambier,PF,-14.428100,-146.257004,11,Pacific/Tahiti
AHO,LIEA,Alghero / Fertilia Airport,Alghero,Sardinia,IT,40.632099,8.290770,87,Europe/Rome
AHU,GMTA,Cherif Al Idrissi Airport,Al Hoceima,Tanger-Tetouan-Al-Hoceima,MA,35.177101,-3.839520,95,Africa/Casablanca
AIA,KAIA,Alliance Municipal Airport,Alliance,Nebraska,US,42.053200,-102.804001,3931,America/Denver
AIN,PAWI,Wainwright Airport,Wainwright,Alaska,US,70.638000,-159.994995,41,America/Anchorage
AIR,SWRP,Aripuana Airport,Aripuana,Mato-Grosso,BR,-10.250278,-59.383888,623,America/Cuiaba
AIR,SSOU,Fazenda Inhumas Airport,Paracatu,Minas-Gerais,BR,-17.036943,-46.260277,1772,America/Sao_Paulo
AIT,NCAI,Aitutaki Airport,Aitutaki,,CK,-18.830900,-159.764008,14,Pacific/Rarotonga
AJA,LFKJ,Ajaccio-Napoleon Bonaparte Airport,Ajaccio/Napoleon Bonaparte,Corsica,FR,41.923599,8.802920,18,Europe/Paris
